1.442,1.058,3.777,8.708,xxx
-0.396,4.650,2.950,8.239,xxx
2.164,2.100,7.112,6.938,xxx
-0.423,4.003,4.744,6.128,xxx
2.152,1.317,5.108,5.051,xxx
0.769,4.218,5.313,8.456,xxx
0.668,5.029,6.511,4.323,xxx
-0.707,3.837,4.177,4.783,xxx
1.060,5.012,6.676,9.343,xxx
3.882,3.563,5.537,3.442,xxx
1.822,4.595,4.488,5.300,xxx
1.238,3.244,4.527,8.352,xxx
2.081,2.900,4.413,6.827,xxx
1.126,2.911,5.511,5.693,xxx
2.834,0.955,5.289,9.944,xxx
3.137,3.051,5.038,8.358,xxx
-0.007,3.948,4.703,4.664,xxx
0.244,2.517,7.667,5.129,xxx
2.077,1.953,5.846,5.949,xxx
2.210,4.195,4.799,4.542,xxx
0.186,4.792,4.916,6.722,xxx
3.388,2.113,5.705,4.045,xxx
0.340,5.860,4.524,6.992,xxx
3.162,4.639,4.480,10.277,xxx
1.639,1.086,5.969,5.280,xxx
1.328,2.054,5.558,7.039,xxx
1.845,3.702,4.996,8.041,xxx
4.176,3.794,6.253,6.614,xxx
1.114,3.897,4.811,4.467,xxx
2.094,3.452,3.969,4.904,xxx
0.381,2.623,4.981,7.936,xxx
1.799,4.930,6.056,7.694,xxx
-0.020,4.018,4.766,7.245,xxx
-1.214,3.476,5.692,3.619,xxx
1.666,6.287,5.939,9.602,xxx
4.502,3.557,6.292,5.939,xxx
0.009,4.645,3.851,7.760,xxx
0.362,4.114,4.231,5.402,xxx
2.367,8.071,4.459,9.089,xxx
4.010,1.037,6.743,7.216,xxx
1.642,2.339,5.567,8.000,xxx
3.290,2.032,5.730,5.398,xxx
3.975,0.500,4.655,5.848,xxx
-3.034,4.057,6.333,10.260,xxx
1.878,1.076,6.224,7.697,xxx
4.438,2.209,8.265,9.042,xxx
-0.523,1.247,5.730,6.661,xxx
2.862,5.038,4.461,7.988,xxx
0.660,4.664,6.412,7.804,xxx
3.568,4.399,5.978,3.783,xxx
2.662,3.806,7.203,7.640,xxx
7.040,1.870,4.169,1.666,xxx
7.293,3.381,1.024,2.116,xxx
-1.578,2.139,4.426,4.454,xxx
5.883,3.088,7.547,3.771,xxx
6.430,3.143,9.676,6.781,xxx
5.918,3.183,5.354,6.330,xxx
5.860,4.155,0.007,5.944,xxx
5.296,3.433,8.220,6.926,xxx
3.512,3.416,2.039,2.283,xxx
7.385,2.122,5.634,3.174,xxx
5.433,3.536,1.719,1.581,xxx
2.548,3.860,5.891,6.938,xxx
0.458,2.582,6.084,4.305,xxx
5.690,4.364,5.962,1.780,xxx
3.875,3.922,2.160,4.822,xxx
1.756,3.247,2.925,7.520,xxx
4.096,5.635,9.647,8.442,xxx
7.015,5.620,15.296,8.271,xxx
2.479,6.293,10.496,6.384,xxx
4.337,1.971,5.164,1.755,xxx
4.335,2.626,9.981,3.671,xxx
7.637,2.820,4.175,7.466,xxx
3.835,4.075,-7.288,2.435,xxx
6.038,3.264,0.750,-1.168,xxx
0.583,2.279,3.456,2.179,xxx
5.939,3.563,7.740,8.737,xxx
3.616,3.426,6.626,5.342,xxx
7.357,3.589,3.714,1.483,xxx
3.242,3.292,5.395,4.011,xxx
9.033,3.913,1.518,9.898,xxx
4.239,3.202,2.251,2.852,xxx
6.605,1.969,3.387,6.896,xxx
4.144,3.213,5.263,6.707,xxx
5.765,1.116,6.052,4.677,xxx
5.522,3.755,7.403,0.362,xxx
7.178,3.666,4.353,3.034,xxx
5.962,4.409,6.540,8.020,xxx
2.596,4.583,2.866,2.900,xxx
6.656,2.695,2.528,5.170,xxx
3.373,3.157,4.685,2.921,xxx
8.369,3.743,6.736,9.498,xxx
3.474,3.483,1.481,7.929,xxx
5.004,4.505,9.231,5.996,xxx
3.002,3.255,5.871,7.158,xxx
6.675,4.203,3.443,6.024,xxx
4.628,3.684,2.537,2.006,xxx
3.844,2.958,5.543,4.397,xxx
3.706,2.324,7.482,1.686,xxx
3.579,4.842,5.176,5.267,xxx
-0.124,6.854,-3.556,2.439,xxx
-1.964,6.394,-0.716,4.726,xxx
3.831,2.971,4.469,10.142,xxx
2.281,4.901,3.226,4.173,xxx
1.967,5.713,-6.082,-0.477,xxx
3.561,3.548,-4.696,-0.809,xxx
-0.923,4.478,-0.384,3.891,xxx
-1.290,0.822,-0.779,3.727,xxx
3.984,1.762,1.472,3.316,xxx
4.553,3.725,0.610,2.751,xxx
-0.782,5.197,2.790,0.824,xxx
1.947,5.750,0.433,2.617,xxx
1.986,7.458,-2.667,1.582,xxx
4.894,7.566,2.257,7.680,xxx
1.482,5.689,-0.685,3.612,xxx
2.010,5.545,2.534,4.844,xxx
-2.943,3.019,-1.530,4.233,xxx
-0.296,6.027,6.257,9.007,xxx
4.779,4.054,-2.277,4.081,xxx
3.414,6.554,2.417,8.191,xxx
1.833,7.326,2.603,2.435,xxx
1.761,3.910,-0.497,4.540,xxx
4.688,6.716,-1.483,7.143,xxx
0.535,6.335,-2.824,0.185,xxx
-0.776,5.303,3.482,3.966,xxx
1.988,7.392,-2.731,-1.951,xxx
-0.606,4.234,0.925,6.554,xxx
0.079,5.995,0.304,1.125,xxx
0.277,5.796,-2.177,4.518,xxx
1.553,3.425,0.847,3.013,xxx
-0.684,5.603,-1.238,3.408,xxx
3.058,5.974,3.826,5.645,xxx
0.863,5.647,0.320,2.684,xxx
1.533,2.885,-6.835,0.174,xxx
0.069,4.307,0.576,1.902,xxx
2.212,3.523,2.478,5.106,xxx
3.092,6.064,2.465,6.945,xxx
3.082,4.142,3.778,5.233,xxx
5.924,7.018,5.020,10.318,xxx
6.775,5.438,2.846,7.959,xxx
4.030,3.085,6.503,13.328,xxx
1.617,6.858,0.553,4.732,xxx
1.459,4.059,-1.433,3.924,xxx
2.461,3.402,6.154,6.259,xxx
3.168,7.018,1.236,5.472,xxx
5.969,5.457,4.696,9.730,xxx
-0.164,6.949,-4.399,1.319,xxx
2.557,2.609,-4.956,-3.259,xxx
4.342,5.354,3.800,7.038,xxx
0.953,4.727,-0.705,4.160,xxx
